name,city,type,link,note,conf
Slaktkyrkan,Stoccolma,Musica,https://www.instagram.com/slaktkyrkan,"Sala concerti/club, ex mattatoio",Certain
Nalen,Stoccolma,Musica,https://www.instagram.com/nalenstockholm,"Sala storica dal 1888, concerti/musica/ristorante",Certain
Fasching,Stoccolma,Musica,https://www.instagram.com/faschingsthlm,"Jazz club dal 1977, uno dei piu antichi in Europa",Certain
Klubb Död,Stoccolma,Musica,https://www.instagram.com/klubbdod,Serata goth/post-punk/synth/cold wave,Certain
Inkonst,Malmö,Misto,https://www.instagram.com/inkonst,"Spazio indipendente per musica/performance/cultura non convenzionale (nella tua lista come ""Inkost"", probabile refuso)",Likely
Aether,Budapest,Musica,https://www.instagram.com/aetherclub,Club techno/house underground,Certain
Turbina,Budapest,Misto,https://www.instagram.com/turbinabudapest,Spazio arte/musica multifunzionale,Certain
Arzenál,Budapest,Musica,https://www.instagram.com/arzenalbudapest,"Il piu grande club indoor dUngheria, ex fabbrica di armi (probabile match per ""Arsenal"")",Certain
Pure Lust,Budapest,Musica,https://www.instagram.com/pure._.lust,Collettivo/serate techno-house,Certain
Badhanna,Budapest,Musica,https://www.instagram.com/badhannabudapest,Club con serate house neon-lit ogni weekend,Certain
Fekete Zaj,Mátra (Ungheria),Musica,https://www.instagram.com/feketezaj,Festival darkwave/post-punk/experimental/metal estremo,Certain
Vurt,Seul,Musica,https://www.instagram.com/vurt_seoul,"Club techno, un po fuori dal centro",Certain
Cakeshop,Seul,Musica,https://www.instagram.com/cakeshopseoul,"Club underground a Itaewon, future house/hip-hop/RnB",Certain
Seendosi,Seul,Misto,https://www.instagram.com/seendosi,Spazio artistico multiforme dal 2015: bar/concerti/mostre/proiezioni,Certain
Club Daphnia,Osaka,Musica,https://www.instagram.com/club_daphnia,"Club techno/house, sistema audio DIY rinomato",Certain
ForestLimit,Tokyo,Musica,https://www.instagram.com/forestlimit_info,Piccolo spazio DIY per musica sperimentale a Hatagaya,Certain
Contact,Tokyo,Musica,https://www.instagram.com/contacttokyo,"Club techno storico, edificio demolito nel 2022 ma IG sembra attivo: verificare se riaperto altrove",Likely
Club Asia,Tokyo,Musica,https://www.instagram.com/clubasia,Storico club/live house a Shibuya dal 1996,Certain
Space.Tokyo,Tokyo,Musica,https://www.instagram.com/space.tokyo,Club/spazio eventi,Certain
Kinone Pension,Tokyo,Musica,https://www.instagram.com/kinone_pension,"Club nascosto tra le piste dellaeroporto di Narita (area metropolitana di Tokyo), costruito dagli attivisti anti-aeroporto negli anni 80",Certain
Grasslands Festival,Kathmandu,Musica,https://www.instagram.com/grasslandsfestival,"Festival musicale boutique dellHimalaya, dal 2021",Certain
Unmute,Hanoi,Musica,https://www.instagram.com/unmute.hanoi,"Spazio per crescita e voci autentiche, musica elettronica",Certain
Club Pantera,San Paolo,Musica,https://www.instagram.com/pantera.clube,Rock/post-punk/elettronica,Certain
Lagarta Bar,San Paolo,Musica,https://www.instagram.com/lagartabar,Bar con musica,Certain
Cama de Gato,San Paolo,Musica,https://www.instagram.com/camadegat0,Bar con ping pong e post-punk,Certain
Porta,San Paolo,Musica,https://www.instagram.com/_____porta_____,Casa culturale indipendente dal 2022: musica/bar/studio/vinile,Certain
Fourtwenty Sound,Bogotá,Musica,https://www.instagram.com/fourtwentysound,"Producer/DJ/label head, tropical bass",Certain
Yu Yu,Città del Messico,Musica,https://www.instagram.com/yuyucineclub,"Club intimo in seminterrato, elettronica avant-garde",Certain
La Brisa,Bali (Canggu),Misto,https://www.instagram.com/labrisabali,"Beach club con piscina, musica, mercato domenicale",Certain
Lunchmeat Festival,Praga,Digital art,https://www.instagram.com/lunchmeatfestival,Festival musica elettronica avanzata e new media art dal 2010,Certain
Acusmatiq Festival,Ancona,Musica,https://www.instagram.com/acusmatiq_festival,Suoni elettronici dal 2006 alla Mole Vanvitelliana,Certain
Dancity Festival,Foligno,Musica,https://www.instagram.com/dancityfestival,Festival musica elettronica dal 2006,Certain
M'era Luna,Hildesheim (Germania),Musica,https://www.instagram.com/meralunafstvl,"Il piu grande festival gothic/darkwave/EBM di Germania, dal 2000",Certain
Keroxen,Tenerife,Musica,https://www.instagram.com/keroxen,"Festival/etichetta arte sperimentale, ex deposito olio",Certain
Grauzone Festival,LAia (Olanda),Musica,https://www.instagram.com/grauzone_festival,"Festival post-punk/darkwave/EBM/industrial, musica/film/arte",Certain
Refractor,Toledo (Spagna),Musica,https://www.instagram.com/refractor.festival,"Festival elettronica in un villaggio, connessione con la natura",Certain
Nuits Sonores,Lione,Musica,https://www.instagram.com/nuits_sonores,"Grande festival musica elettronica/digitale dal 2003, taggato da un artista club",Certain
Optimistic Festival,Parigi,Musica,https://www.instagram.com/optimisticfestival,"Festival elettronica, taggato da un artista club",Likely
Iota Festival,Nantes,Musica,https://www.instagram.com/iota_festival,"Festival musica elettronica/arti digitali, taggato da un artista club",Likely
Bonjour C'est Cluster,Lille,Musica,https://www.instagram.com/bonjourcestcluster,"Collettivo/promoter, taggato da un artista club",Certain
Commune de Nuit,Marsiglia,Musica,https://www.instagram.com/communedenuit,"Collettivo/promoter notturno, taggato da un artista club",Likely
OHM Town,Marsiglia,Musica,https://www.instagram.com/ohm_town,"Collettivo/spazio musica elettronica, taggato da un artista club",Likely
ARCAN.IO,Marsiglia,Musica,https://www.instagram.com/arcan.io,"Collettivo/promoter elettronica, taggato da un artista club",Likely
Drama Event,Marsiglia,Musica,https://www.instagram.com/drama.event,"Organizzatore eventi/serate club, taggato da un artista club",Likely
Unite.22,Marsiglia,Musica,https://www.instagram.com/unite.22_marseille,"Collettivo/promoter locale, taggato da un artista club",Likely
Flow Festival,Helsinki,Musica,https://www.instagram.com/flowfestivalhelsinki,"Festival musica e arte urbana dal 2004, area ex centrale elettrica Suvilahti",Certain
Mutek Barcelona,Barcellona,Digital art,https://www.instagram.com/mutekes,"Festival internazionale creativita digitale e musica elettronica, dal 2009 (biennale dal 2024)",Certain
Parallel Festival,Toledo (Spagna),Musica,https://www.instagram.com/parallelfestival,Festival techno/ambient/sperimentale sulle montagne catalane (Port del Comte),Certain
Positive Education,Lione,Musica,https://www.instagram.com/positiveeducation,"Festival elettronica di riferimento a Saint-Etienne (area Lione/Rodano-Alpi), dal 2016",Certain
E-Only Festival,Lipsia,Musica,https://www.instagram.com/eonlyfestival,Festival EBM/darkwave nello storico Stadtbad di Lipsia,Certain
Ansia Festival,Bogotá,Musica,https://www.instagram.com/ansiafestival,Festival post-punk/minimal synth/cold wave/dark wave,Certain
Next Festival,Bratislava,Musica,https://www.instagram.com/festivalnext,Festival musica avventurosa/sonic art dal 2000,Certain
Kala Festival,Dhermi (Albania),Musica,https://www.instagram.com/kalafestival,Festival boutique sulla spiaggia: house/disco/techno/funk/soul,Certain
Elevate Festival,Graz,Digital art,https://www.instagram.com/elevate_festival,"Festival musica/arte/discorso politico dal 2005, tappa tour Dame Area. Handle corretto dopo verifica.",Certain
The Hare and Hounds,Birmingham,Musica,https://www.instagram.com/hareandhoundsbrum,"Pub/venue concerti, tappa tour Dame Area",Certain
SOUP,Manchester,Musica,https://www.instagram.com/soup_mcr,"Venue concerti/club, tappa tour Dame Area",Certain
Earth,Londra,Musica,https://www.instagram.com/earthhackney,"Venue concerti a Hackney, tappa tour Dame Area",Certain
Stage Live,Bilbao,Musica,https://www.instagram.com/stagelivebilbao,"Sala concerti, tappa tour Dame Area",Certain
Saccade,Bristol,Musica,https://www.instagram.com/accidentalmeetings,"Serata/promoter (IG del collettivo Accidental Meetings), tappa tour Dame Area",Certain
Factoria de So,Palma di Maiorca,Musica,https://www.instagram.com/factoriadeso,"Sala concerti, tappa tour Dame Area",Certain
Son Letal,San José,Musica,https://www.instagram.com/sonletal.cr,"Venue/promoter, tappa tour Dame Area",Certain
Asilo,Bogotá,Musica,https://www.instagram.com/asiloclub,"Bar/venue dark/post-punk, tappa tour Dame Area (legato anche ad Ansia Festival). Handle corretto dopo verifica.",Certain
Club Vita,Santiago del Cile,Musica,https://www.instagram.com/clubvita_,"Club, tappa tour Dame Area",Certain
Casa Colombo,Buenos Aires,Musica,https://www.instagram.com/casacolombobsas,"Venue concerti/club, tappa tour Dame Area",Certain
Audio Rebel,Rio de Janeiro,Musica,https://www.instagram.com/audiorebel,"Club/venue, tappa tour Dame Area",Certain
Aurora Festival,Natal,Musica,https://www.instagram.com/aurorafestivalnatal,"Festival musicale, tappa tour Dame Area",Certain
Embassat Festival,Sabadell,Musica,https://www.instagram.com/embassat,"Festival musicale, tappa tour Dame Area",Certain
Retrofuture,La Coruña,Musica,https://www.instagram.com/retrofutureclub,"Club, tappa tour Dame Area",Certain
Garage Mu Festival,Parigi,Musica,https://www.instagram.com/collectifmu,"Festival del Collectif MU alla Station-Gare des Mines, tappa tour Dame Area. Handle corretto dopo verifica.",Certain
Volks,Brighton,Musica,https://www.instagram.com/volksbrighton,"Club/venue, tappa tour Dame Area",Certain
Outer Waves Festival,Liverpool,Musica,https://www.instagram.com/outerwavesfestival,"Festival musica/arte sperimentale dal 2025, ha ospitato Dame Area. Handle corretto dopo verifica.",Certain
Serralves em Festa,Porto,Arte,https://www.instagram.com/museuserralves,"Grande festa/festival annuale del museo Serralves, tappa tour Dame Area",Certain
Festival Impulso,Caldas da Rainha,Musica,https://www.instagram.com/festival_impulso,"Festival musicale, tappa tour Dame Area. Handle corretto dopo verifica.",Certain
MKC,Spalato,Misto,https://www.instagram.com/mkc_split,"Centro culturale giovanile, concerti/eventi, tappa tour Dame Area",Certain
Pies Pala Pop,Rennes,Musica,https://www.instagram.com/piespalapop,"Venue/promoter concerti, tappa tour Dame Area",Certain
Best Kept Secret Festival,Hilvarenbeek,Musica,https://www.instagram.com/bksfestival,"Grande festival musicale olandese, tappa tour Dame Area",Certain
Rust,Copenhagen,Musica,https://www.instagram.com/rustcph,"Club/venue concerti, tappa tour Dame Area",Certain
Fête de la Musique Bruxelles,Bruxelles,Misto,https://www.instagram.com/fetedelamusiquebruxelles,"Edizione bruxellese della giornata mondiale della musica, tappa tour Dame Area",Certain
Rock In Bourlon,Bourlon,Musica,https://www.instagram.com/rockinbourlon,"Festival rock, tappa tour Dame Area",Certain
Convivencia Festival,Tolosa,Musica,https://www.instagram.com/convivencia_festival,"Scena navigante di musiche del mondo, tappa tour Dame Area. Handle corretto dopo verifica.",Certain
Orbeat Festival,L'Aquila,Musica,https://www.instagram.com/orbeat.collective,"Festival musica contemporanea/sperimentazione artistica, tappa tour Dame Area. Handle corretto dopo verifica.",Certain
Lethargy Festival,Zurigo,Musica,https://www.instagram.com/lethargyfestival,"Festival musicale, tappa tour Dame Area",Certain
Vodafone Paredes de Coura Festival,Paredes de Coura,Musica,https://www.instagram.com/vodafoneparedesdecoura,"Grande festival musicale portoghese, tappa tour Dame Area",Certain
Green Man Festival,Brecons Beacons,Musica,https://www.instagram.com/greenmanfest,"Festival musicale/arte nel Galles, tappa tour Dame Area",Certain
Le Cumulus,Bordeaux,Musica,https://www.instagram.com/lecumulus_bdx,"Venue concerti, tappa tour Sangre de Muérdago",Certain
Cold Crash,Nantes,Musica,https://www.instagram.com/coldcrashnantes,"Venue/collettivo concerti, tappa tour Sangre de Muérdago",Certain
Église Sépulcre,Caen,Musica,https://www.instagram.com/eglise_sepulcre_caen,"Ex chiesa riconvertita in venue concerti, tappa tour Sangre de Muérdago",Certain
House of Mysteries,Gent,Musica,https://www.instagram.com/houseofmysteriesgent,"Venue concerti, tappa tour Sangre de Muérdago. Handle corretto dal link diretto dell'utente.",Certain
De Gudde Wellen,Lussemburgo,Musica,https://www.instagram.com/deguddewellen,"Birreria/venue concerti, tappa tour Sangre de Muérdago",Certain
B-Side,Münster,Musica,https://www.instagram.com/bside.ms,"Venue concerti, tappa tour Sangre de Muérdago",Certain
Die Ganze Bäckerei,Flensburg,Musica,https://www.instagram.com/die_ganze_baeckerei,"Centro culturale/venue concerti in ex panificio, tappa tour Sangre de Muérdago",Certain
Huset,Aalborg,Misto,https://www.instagram.com/husetaalborg,"Centro culturale/venue concerti, tappa tour Sangre de Muérdago",Certain
UT Connewitz,Lipsia,Musica,https://www.instagram.com/ut_connewitz,"Storico cinema/teatro riconvertito in venue concerti, tappa tour Sangre de Muérdago",Certain
